userId,GoalSetting,StrategicPlanning,SelfEvaluation,TaskStrategies,Elaboration,HelpSeeking,SRL,only lecture,Atry to lecture,explore,only asessment,Lcomplete to Atry,lecture to Acomplete,hrs,prior_exp,crs_str,crs_fin,int_topic,int_assess,edu,age,isfemale,emp_student,emp_job,completer,days_act,num_events,num_ses,grade,cluster,Gano
de8add631892d910865d274fba16e50ecdbf25c4,2.25,3,1.666666667,2.666666667,1.666666667,2.75,2.333333333,4,0,0,0,0,0,2,1,0,0,1,1,2,21,1,1,0,FALSO,1,1,1,0,0,0
6c52bd8137a53405d70f7e4a5a0252a54cce0b33,2.75,2.25,2.333333333,2,2,2.75,2.347222222,0,0,0,0,0,0,5,0,6,2,1,1,7,40,0,0,1,FALSO,1,7,1,0,0,0
fcee756b50866a091330574bc1f1ea21016d67e8,1.75,2,2,2.5,2.333333333,3.5,2.347222222,0,0,0,0,0,0,4,1,0,0,1,1,4,27,1,1,0,FALSO,1,10,1,0,0,0
6de3cc8c2747f95a6772737002ddc4da745838f4,2.5,2.75,2.333333333,2.5,4,0,2.347222222,0,0,5,0,0,0,4,1,2,2,0,1,4,68,0,0,0,FALSO,3,1,4,2.999999933,0,0
a38259cefb42461f7de22fcb4a5da6a428673563,2.5,2,3,2,2.333333333,2.25,2.347222222,2,0,0,0,0,0,6,1,4,3,1,1,5,44,0,0,1,FALSO,1,7,1,23.28571379,0,0
ff246c2fc4941d8639cb36fb97c56006bea4094e,2.75,1.75,2,1.833333333,3,2.75,2.347222222,4,0,0,9,0,0,5,1,1,0,1,1,2,23,1,1,0,FALSO,10,1,24,49.14285839,0,0
57115a8da335293f184d4bd985f2f8f854f092a6,2.5,2.5,1.666666667,2,2.666666667,2.75,2.347222222,0,0,0,0,0,0,5,0,0,0,1,1,4,21,0,1,0,FALSO,1,2,2,0,0,0
d2a3e77c78907bf2d04654f4ad9d6e6deba30bf0,2,2,2.666666667,1.666666667,3,2.75,2.347222222,0,0,0,0,0,0,5,0,2,2,1,1,4,40,0,0,1,FALSO,5,6,11,5.999999866,0,0
64af3d3cbb744ffe09a0fe26958b6123beee3c06,3,2.25,2.666666667,2.166666667,3,1,2.347222222,3,0,0,7,0,0,3,1,3,3,1,1,5,50,0,0,1,FALSO,7,3,7,29.11428511,0,0
9f59a492b6fb12f02568dffa5d738d732b378ec9,1.25,2.25,2.666666667,2.5,3,2.5,2.361111111,0,0,4,0,0,0,4,1,2,2,1,1,3,46,0,0,1,FALSO,2,2,3,4.500000179,0,0
b032cd75569ec5c0cf9bd48b0d83ad3658389b57,3.25,2.5,2,2.666666667,2.333333333,1.5,2.375,0,0,0,0,0,0,4,0,0,0,1,1,3,23,0,1,0,FALSO,1,1,2,0,0,0
b2eb5af36a04a63a26d7098ca1d331c765b2217d,1,2.25,3,2.833333333,2.666666667,2.5,2.375,0,0,0,0,0,0,5,0,4,3,1,1,3,32,0,0,0,FALSO,2,2,2,0,0,0
168fd0fc02eda7077e7b8769671794a5659f2f12,2.5,2.75,3,2.666666667,2.333333333,1,2.375,0,0,0,3,0,0,5,0,3,3,1,1,2,19,1,1,0,FALSO,6,10,11,5.999999866,0,0
b34f5ecb750f608b391b203e0c266f7a318480cd,2.5,2.75,3,2.833333333,2.666666667,0.5,2.375,3,0,5,0,0,0,4,1,2,0,1,1,3,26,0,1,0,FALSO,2,1,3,11.14285737,0,0
550f0db57a07750187065eab3b1bd6af507b31fd,2.5,2.25,2.666666667,2.333333333,3,1.5,2.375,0,0,9,0,0,0,5,1,0,0,1,1,5,24,0,1,0,FALSO,1,3,1,21.8095243,0,0
8e4f9476ad20e8dcc77605d53f8e6d5d686cff24,1.5,1.75,3.333333333,2.166666667,3,2.5,2.375,0,0,0,13,0,0,1,1,0,0,1,1,2,18,0,1,0,FALSO,2,2,2,44.50952411,0,0
